% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
0.0011600000000000002,0.00251,0.0014443436395265125-1.3298588620045112E-4i
0.00117,0.00251,0.0014594700587009684-1.3105481088074205E-4i
0.0011800000000000003,0.00251,0.0014741995061421857-1.2917401380581177E-4i
0.00119,0.00251,0.0014885432618953823-1.273394492388349E-4i
0.0012000000000000001,0.00251,0.0015025026668143632-1.2555026113191813E-4i
0.0012100000000000001,0.00251,0.001516078357594009-1.2380589411399473E-4i
0.0012200000000000002,0.00251,0.0015292829666751872-1.2210275796734686E-4i
0.0012300000000000002,0.00251,0.0015421204551764266-1.2043987243621335E-4i
0.0012400000000000002,0.00251,0.0015545918412593971-1.1881657546258768E-4i
0.0012500000000000002,0.00251,0.0015667072360347149-1.1723031471989985E-4i
0.0012600000000000003,0.00251,0.0015784746817789118-1.1567919346697549E-4i
0.00127,0.00251,0.0015898941784919863-1.1416321170381463E-4i
0.00128,0.00251,0.0016009702006426565-1.1268083521451379E-4i
0.0012900000000000001,0.00251,0.0016117133027269443-1.1123025600745035E-4i
0.0013000000000000002,0.00251,0.0016221280026650063-1.0981026868075433E-4i
0.0013100000000000002,0.00251,0.001632212402454253-1.084212752942296E-4i
0.0013200000000000002,0.00251,0.0016419782109809479-1.0706055268003826E-4i
0.0013300000000000002,0.00251,0.0016514293210723118-1.0572775687356649E-4i
0.0013400000000000003,0.00251,0.001660567381086317-1.0442215059020438E-4i
0.0013500000000000003,0.00251,0.0016693984588293225-1.0314261428191617E-4i
0.00136,0.00251,0.0016779316764754906-1.0188809735755717E-4i
0.0013700000000000001,0.00251,0.0016861688539634566-1.0065786518201323E-4i
0.0013800000000000002,0.00251,0.0016941122819614048-9.945136271207113E-5i
0.0013900000000000002,0.00251,0.00170177192736667-9.826748953487212E-5i
0.0014000000000000002,0.00251,0.0017091490787163556-9.71058508051465E-5i
0.0014100000000000002,0.00251,0.0017162487083170572-9.596540417226023E-5i
0.0014200000000000003,0.00251,0.0017230742538141756-9.484581170729714E-5i
0.0014300000000000003,0.00251,0.001729632296925829-9.374643891415099E-5i
0.00144,0.00251,0.0017359290714209284-9.266611407467116E-5i
0.0014500000000000001,0.00251,0.0017419627872898558-9.160502119849367E-5i
0.0014600000000000001,0.00251,0.001747743479636158-9.056194755915677E-5i
0.0014700000000000002,0.00251,0.0017532735540475213-8.953671201752247E-5i
0.0014800000000000002,0.00251,0.0017585536829281701-8.852891795871587E-5i
0.0014900000000000002,0.00251,0.001763590648685493-8.753799425568219E-5i
0.0015000000000000002,0.00251,0.0017683943834342756-8.656288600293315E-5i
2.0E-4,0.00252,7.385519119313258E-5-7.232141837536558E-5i
2.1E-4,0.00252,-1.1708185472419709E7-1.0923846697287338E7i
2.2E-4,0.00252,-1.2477356132202277E7-1.087257819918349E7i
2.3E-4,0.00252,-1.3166134324503325E7-1.0891499178692885E7i
2.4E-4,0.00252,-1.380132744804342E7-1.0965819156412378E7i
